Subject,URL,Article ID,Public URL,Category,Content,Created,Modified,# Shortcuts,Read By,Revisions
Loyola Classroom Technology Training Resources,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/140426,140426,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=140426,Classroom Technology,"Loyola Classroom Technology Training Resources
Tags
classroom-technology classroom Zoom-Meetings Mobile-Carts Touch-Panel Room-105 Room-107 KH105 KH107 Whiteboard-Cart PTZ apporto Huddle-Rooms BiAmp-Modena Seminar-Classrooms Instructor-Touch-Panel whiteboard listen-everywhere CTW CTW010 CTW011 CTW012 CTW056
Note: You may be prompted to enter your Loyola username and password to view/download these documents below. 
Summary
This Knowledge Base article houses Loyola University Maryland's classroom technology training resources such as quick start guides, videos, and how to documentation. 
Technical Support
How can I get Technology Help in the Classroom?
Please call 410-617-2255 – This is a dedicated line for classroom technology issues.
General Technical Support Assistance
Contact the Help Center 410-617-5555 or visit on the web at http://ots.loyola.edu
Quick Start Guides
User Guide: Mobile Carts
User Guide:PTZ Classrooms
User Guide: Whiteboard Podiums
Mobile Cart Class Experience Videos
Video: Setting up the Mobile Classroom Carts
Video:Launching a Zoom Meeting
Video: Using the Camera Remote 
Video: Putting it All Together
Video: Classroom Experience
Classroom Buildings
[CICL] Beatty Hall / Fernandez Center
User Guide: Active Learning Classrooms
User Guide: BiAmp Modena 
Video: BiAmp Modena: Wireless Screen-Sharing
User Guide: Huddle Rooms
User Guide: Seminar Classrooms
Knowledge Base Article: Introducing Listen Everywhere at Loyola [Assistive Technology]
  Cohn
User Guide: Cohn 133
User Guide: CO133 Zoom/Teams Meeting Steps
  College Center
User Guide: CTW010, CTW011, and CTW012
User Guide: CTW056
  Hopkins Court
User Guide: Hopkins 222
  Humanities
User Guide: HU002
User Guide: HU004
  Knott Hall
User Guide: KH003
User Guide: Learn how to use the Touch Panel located in Knott Hall - Room 105
User Guide: Learn how to use the Touch Panel located in Knott Hall - Room 107
User Guide: KH309
User Guide: KH318
Sellinger Hall
User Guide: Sellinger Hall 003 - Active Learning Classroom
    Learn more about Zoom
Knowledge Base: Accessing Zoom and Logging In
Knowledge Base: How to Start a Zoom Meeting
Knowledge Base: Accessing your recordings in Zoom
Knowledge Base: Accessing Zoom Recording in Panopto
Knowledge Base: Meeting Options
Knowledge Base: Using a Document Camera with Zoom
Using Apporto Virtual Lab
Knowledge Base: Learn how to use and setup Apporto Virtual Lab for teaching. 
Get Help
If you need assistance with Classroom Technology, please review related article, contact our Classroom Support Line at: 410-617-2255 during business hours, or submit a ticket. 
Loyola Classroom Technology Articles
Classroom Support Line: 410-617-2255
Submit a Ticket
Was this helpful?
0 reviews",7/7/2022,12/12/2024,0,514,29
Windows 11 FAQs,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/152568,152568,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=152568,Operating Systems,"Windows 11 FAQs
Tags
Windows Windows11 Win11 WindowsOS
Summary
Windows 11 is the latest operating system from Microsoft.  It features a redesigned Start Menu, new Snap layouts for multitasking, and enhanced virtual desktops. The OS also improves integration with Microsoft Teams, improves support for touch and pen input (where applicable), and performance optimizations that make it faster and more efficient. Built on the same foundation as Windows 10, Windows 11 ensures compatibility with most Windows 10 applications while delivering a more refined and user-friendly experience. 
FAQs
Where can I find more about Windows 11 basics? 
How do I sign out, lock, or switch users in Windows 11?
How do I find applications? 
How to use the Windows 11 task bar? 
Note: Windows has removed the ability to move your taskbar from the bottom of the screen, which had been available in earlier versions of Windows.
How to use the multiple desktop feature? 
What is the snap feature? 
What keyboard shortcuts are available? 
Where to find accessibility options? 
What’s new with the Snipping Tool? 
Note: The Snipping Tool now auto saves screen captures to the Pictures folder on the PC.  To change this, open Settings for the Snipping Tool and set this feature to Off. 
For more Windows 11 training, follow the link to view short videos on various features.  Windows 11 Tips and Tricks | LinkedIn Learning 
Get Help
If you need additional assistance with Windows 11, please submit a ticket to the Help Center.
Submit a Ticket
Was this helpful? YesNo
0 reviews",8/16/2024,11/25/2024,0,48,5
Technology Services Surplus Equipment Sales,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/51904,51904,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=51904,"Technology Policies, Guidelines, and Standards","Technology Services Surplus Equipment Sales
Tags
surplus computers computer auction purchasing warranty
Technology Services runs several surplus equipment auctions per year. Auctions are run online in partnership with Rasmus Auctions. Sales are open to the public, including to Loyola employees and students. Buyers must register through Rasmus and follow their terms and conditions. 
Auctioned equipment consists of items that are no longer usable by the University, typically due to age or changing business needs. All items are sold AS-IS, with no warranty or support from the University. Potential buyers should read descriptions carefully and attend the preview.
We post on ""Loyola Today"" when auctions are available with a link to the bidding site. 
In order to realize the most value for surplus equipment and to be fair to all potential buyers, Technology Services no longer sells equipment directly to employees.
Was this helpful? YesNo
0 reviews",4/12/2018,11/12/2024,0,26,5
Technology Purchases,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/45308,45308,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=45308,"Technology Policies, Guidelines, and Standards","Technology Purchases
Tags
Apple purchasing Personal Technology lenovo computer-loan warranty
Where should I purchase my technology?
Option 1: Buy through a Loyola-affiliated program
Apple, Inc. through the Apple Education Store 
Lenovo through the Lenovo Education Store
Dell through the Dell Loyola University Store
Loyola does not require students to purchase through any affiliate programs, however, discounts may apply through these programs. There is no additional benefit to the student purchasing a laptop through an affiliate program other than a discounted price or promotion. All students, provided that their machine meets the required specifications for support, will receive the same help and attention to their requests for service.
Employees may also take advantage of these discount programs. Additionally, employees may participate in the Technology Loan Program offering financial assistance for your purchase.
Option 2: Buy on your own
There are many stores across the nation that sell all varieties of machines. Although Loyola does not require that students purchase a name-brand machine, we advise that you consider access to support materials for your purchase, in the long run, should you require hardware assistance. Also important to note are the warranty considerations associated with the manufacturer of the machine. The Student Technology Center is not authorized to repair items that are covered under warranty obligations. These issues are stipulated under the contract between you and the manufacturer to be performed by a certified manufacturer technician.
Was this helpful? YesNo
100% helpful - 3 reviews",12/20/2017,11/12/2024,0,198,4
Installing the Wi-Fi certificate on Android devices,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/133923,133923,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=133923,Wi-Fi & Networking,"Installing the Wi-Fi certificate on Android devices
Tags
Wireless WiFi certificate Android clearpass
What is Clearpass?
If you are prompted to accept a clearpass security certificate when connecting to our wireless networks, please do so. This certificate helps keep our network safe and must be accepted to connect to the wireless. If the certificate does not automatically install on your computer you may need to install it from clearpass.ad.loyola.edu. 
Was this helpful? YesNo
78% helpful - 36 reviews",6/25/2021,11/6/2024,0,444,2
What is Digital Signage?,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/121421,121421,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=121421,None,"What is Digital Signage?
Tags
evergreen event events digital-signage digital
Summary
Loyola has digital signage available to advertise upcoming events. Digital signage displays are throughout the Evergreen Campus and is managed by Event Services. For Digital Signage policies, tips and additional questions, visit the Digital Signage page.
Digital Signage Page
Available To
This service is available to all active students, faculty, staff, and administrators.
Benefits & Key Features
Advertise events
Communicate to Loyola community
Cost
There is no cost to submit an advertisement.  If a department requests equipment for digital signage, set up costs would be incurred
Get Help
If you need additional assistance with Digital Signage, please contact Event Services.
Main Office: 410-617-5077
Email: events@loyola.edu
Was this helpful? YesNo
0 reviews",12/1/2020,11/5/2024,0,12,5
What is HoundPrint for Students?,https://loyola.teamdynamix.com/TDClient/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/121420,121420,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=121420,HoundPrint,"What is HoundPrint for Students?
Tags
houndprint houndprint-evergreen houndprint-credit houndprint-credits
Summary
HoundPrint is a managed print service program that enables you to use your Loyola ID to securely print, copy or scan a document to any multi-functional printer conveniently located throughout Loyola campuses.
Available To
This service is available to all students.
Benefits & Key Features
Print a document from your computer and pick it up at any HoundPrint device on campus.
Copy or scan documents at any HoundPrint device.
Print to HoundPrint devices by using Web Print on the HoundPrint Dashboard
Cost
Loyola University subsidizes students with $15.00 of HoundPrint credits per semester. If you exceed your allocated amount, funds will begin to be drawn from your Evergreen account balance:
$0.04 per page for black and white printing
$0.12 for color printing
Get Help
If you need additional assistance with HoundPrint for Students, please review related articles, or submit a ticket to the Help Center.
Submit a Ticket
Was this helpful? YesNo
0 reviews",12/1/2020,11/1/2024,0,158,6
What is eduroam?,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/45325,45325,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=45325,Wi-Fi & Networking,"What is eduroam?
Tags
Network Wireless wi-fi eduroam
eduroam allows students, faculty, and staff from participating institutions to obtain Internet connectivity across campus and when visiting other participating institutions by utilizing their Loyola email address and password on their laptop or mobile device.
Learn more at www.eduroam.org.
Available To
This service is available to all active students, faculty, staff, and administrators.
Visitors to Loyola from other participating universities.
Benefits & Key Features
Loyola members can connect to the wireless network at participating institutions using their email address and password.
User credentials are kept secure.
Cost
There is no cost to use this service.
  Was this helpful? YesNo
0 reviews",12/20/2017,10/30/2024,0,45,5
Wireless (Wi-Fi) Access,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/45324,45324,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=45324,Wi-Fi & Networking,"Wireless (Wi-Fi) Access
Tags
access Wireless HoundNet guest wi-fi eduroam
Loyola offers nearly 100% Wi-Fi coverage throughout Loyola's campuses.
Students Faculty, Admin, and Staff Visitors
HoundNet X X  
HoundNet-Guest     X
eduroam X X  
HoundNet - Encrypted Wi-Fi for Students/Faculty/Staff/Admin
How do I access HoundNet?
Use your device's wireless application software to search for available wireless networks. This application differs with each manufacturer so consult your device manufacturer's specific documentation for assistance. Connect to the wireless network named ""HoundNet."" You will be asked to enter your Loyola username and password to complete the connection.    
Where can I access HoundNet?
HoundNet is accessible from any campus location including the Timonium graduate center and the Belvedere Clinical Center.
How fast is HoundNet?
Depending on your hardware, current wireless technology can operate at speeds up to 1.3 Gbps and it provides an online experience faster than that of traditional wired networks.
What do I need to connect to HoundNet?
You need a Wi-Fi-capable device that supports either 802.11n, Wifi5 or Wifi6.
How do I connect a gaming device, or devices other than computers and phones?
Devices that don't support the 802.1X protocol (such as gaming consoles, Rokus, AppleTV, etc) should be connected to HoundNet-Guest.
Devices that require direct point-to-point communication (such as Wi-Fi printers or speakers) will not work.
eduroam
What is eduroam?
Loyola is a member of eduroam, a Wi-Fi consortium made up of colleges and universities around the world. If you are at another eduroam school, connect to the eduroam network and log in with your Loyola email address and password to connect to the network. Learn more about eduroam.  
Was this helpful? YesNo
92% helpful - 61 reviews",12/20/2017,10/30/2024,0,1191,11
Standard Loyola Provided Computer Hardware Configurations,https://loyola.teamdynamix.com/TDAdmin/9FEEA2CD-5D6E-44B2-A393-47BFD86A8D0A/1866/KnowledgeBase/ArticleDet/45111,45111,https://loyola.teamdynamix.com/TDClient/1866/Portal/KB/ArticleDet?ID=45111,"Technology Policies, Guidelines, and Standards","Standard Loyola Provided Computer Hardware Configurations
Tags
Apple Mac Windows computer hardware Loyola-Issued-Mac Standards Laptop Desktop-Computer
Per the Technology Procurement and Disposal Policy, the University provides one desktop OR laptop per eligible faculty, staff or administrator, based upon job need. Any additional devices or equipment, including tablets, must be approved by the Provost or Divisional Vice President and paid for with departmental funds. Purchases made with departmental funds are not included in Technology Services refresh and departments should plan to budget to upgrade or refresh as appropriate. Faculty who require a second computer for research purposes are encouraged to seek grant funding.
Faculty
Faculty may choose between the standard Windows or Mac laptop configurations.
Staff and Administrators
Staff and administrators may choose between the standard Windows laptop or desktop configurations. If a staff member or administrator has a business need for a Mac, it must be documented and approved by the division Vice President. Examples of special needs are job type, special software needed to perform duties, etc.
Windows Desktop
Lenovo ThinkCentre Tiny
AMD Ryzen Processor
16 GB Memory*
256 GB Solid State Drive
Monitor
Keyboard/Mouse
Windows Laptop 
Lenovo ThinkPad 14""
AMD Ryzen Processor
16 GB Memory*
256 GB Solid State Drive
Docking Station
Mac Laptop  
MacBook Air 13""
M1 Processor
16 GB Memory*
256 GB Solid State Drive
Docking Station
  *Loyola has been transitioning to 16 GB of RAM.  Some older systems will still be 8 GB.
Was this helpful? YesNo
0 reviews",12/18/2017,10/25/2024,0,54,11
